Home                           Away
Name          Pos Prs St Tk Ps Sh Sm | Min Sav Ktk Kps Ass Sht Gls Yel Red Inj KAb TAb PAb SAb Fit
--------------------------------------------------------------------------------------------------
O_Ibsi         GK   R 17  3  4  5 43 |  90  34   0   0   0   0   0   0   0   0 272   0   0   0 100
Juan_Forlin   DFC   C  2 22  9  2 43 |  90   0   0   0   0   0   0   0   0   0   0   0   0   0  10
J_C_Blengio   DFC   R  2 18  4  5 63 |  90   0   1   0   0   0   0   0   0   0   0  60   0   0  16
O_Barsottini  DFC  LC  2 18  6  5 43 |  90   0   1   0   0   0   0   0   0   0   0  60   0   0  10
Lucas_Licht   DFC   R  2 15  5  6 71 |  90   0   3   0   0   0   0   0   0   0   0 203  23  23  33
M_Ballack     MFC   C  3 14 22  6 51 |  90   0   0   1   0   0   0   0   0   0   0   0  21   0  10
L_Sapetti     MFC   L  2  6 17  4 46 |  90   0   0   0   0   0   0   0   0   0   0   0   0   0  10
Choy_Gonzalez MFC   C  2  6 15  5 30 |  90   0   0   0   0   0   0   0   0   0   0  23  23  23  10
Nico_Cabrera  MFC   R  2  4 17  4 29 |  87   0   0   0   0   0   0   0   0   1   0   0   0   0  10
E_Terzaghi    FWC   L  4  9  9 18 69 |  90   0   0   0   0   0   0   0   0   0   0   0   0   0  31
G_Higuain     FWC   L  3  6  7 16 66 |  90   0   1   0   0   0   0   0   0   0   0  60   0   0  18
F_Monetti      GK   L 13  2  2  2 61 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
F_Oreja       DFC   R  2 14  6  5 47 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
J_Chaves      MFC   R  2  5 15  5 43 |   3   0   0   1   0   0   0   0   0   0   0   0  21   0  98
C_Piarrou     DFC  RC  2 13  5  5 38 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
N_F_Silva     FWC   C  2  4  5 14 42 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
E_Mendez      MFC   C  2  6 14  5 43 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
N_Sanguinetti DFC   R  2 11  6  6 73 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
-- Total --                                 34   6   2   0   0   0   0   0   1


Team totals
Team  Min        Tk       Ps       Sh
-------------------------------------
qui     0     68.72    58.52    50.21
gim     0     19.84    15.13    13.90
qui    10     66.97    56.79    48.84
gim    10     18.08    12.98    13.09
qui    20     65.03    55.32    47.63
gim    20     16.15    10.98    12.35
qui    30     63.18    53.39    45.92
gim    30     14.20     9.00    11.49
qui    40     60.93    51.55    44.22
gim    40     13.53     8.58    10.90
qui    50     58.69    49.42    42.66
gim    50     12.90     8.42    10.19
qui    60     56.42    47.51    41.03
gim    60     12.19     8.25     9.50
qui    70     53.98    45.73    39.55
gim    70     11.42     8.07     8.82
qui    80     51.54    44.02    37.99
gim    80     10.93     7.94     8.33
qui    90     49.39    42.18    36.34
gim    90     11.25    16.42     8.72


1362708761
